Cell_no.	Sw	Sn	k	phi	vol	alpha	n	Swr	Snr	Snr_m	Ss
7379	1.044040404	0	6.01594E-14	0.25	10	0.000160213	1.691054254	0.162057799	0	0.02	0.001
7380	1.043838384	0	1.70996E-14	0.25	10	0.000126877	1.519973967	0.188474608	0	0.02	0.001
7381	1.043636364	0	2.50111E-14	0.25	10	0.000136954	1.571690315	0.180488995	0	0.02	0.001
7382	1.043434343	0	7.67374E-14	0.25	10	0.000166663	1.724155514	0.156946575	0	0.02	0.001
7383	1.043232323	0	5.92967E-14	0.25	10	0.00015983	1.689089849	0.162361126	0	0.02	0.001
7384	1.043030303	0	5.92967E-14	0.25	10	0.00015983	1.689089849	0.162361126	0	0.02	0.001
7385	1.042828283	0	1.06574E-13	0.25	10	0.000175367	1.768824975	0.150049085	0	0.02	0.001
7386	1.042626263	0	9.65361E-14	0.25	10	0.000172745	1.755371365	0.15212648	0	0.02	0.001
7387	1.042424242	0	9.65361E-14	0.25	10	0.000172745	1.755371365	0.15212648	0	0.02	0.001
7388	1.042222222	0	9.65361E-14	0.25	10	0.000172745	1.755371365	0.15212648	0	0.02	0.001
7389	1.042020202	0	2.43019E-13	0.25	10	0.000197211	1.880929449	0.132738835	0	0.02	0.001
7390	1.041818182	0	2.43019E-13	0.25	10	0.000197211	1.880929449	0.132738835	0	0.02	0.001
7391	1.041616162	0	3.42519E-12	0.25	10	0.000267323	2.240754498	0.077177614	0	0.02	0.001
7392	1.041414141	0	3.42519E-12	0.25	10	0.000267323	2.240754498	0.077177614	0	0.02	0.001
7393	1.041212121	0	2.02642E-12	0.25	10	0.000253414	2.169370076	0.088200209	0	0.02	0.001
7394	1.041010101	0	6.58763E-14	0.25	10	0.000162618	1.703400436	0.160151403	0	0.02	0.001
7395	1.040808081	0	4.37986E-14	0.25	10	0.000151802	1.647888488	0.168723101	0	0.02	0.001
7396	1.040606061	0	6.49131E-13	0.25	10	0.000223247	2.014548891	0.112106421	0	0.02	0.001
